Freq;Ampl;Phase;Cohe
107.92;2.64;0.49;1.00
109.19;2.55;0.64;1.00
110.48;2.46;0.71;1.00
111.78;2.35;0.87;1.00
113.10;2.26;1.05;1.00
114.43;2.13;1.26;1.00
115.78;2.02;1.56;1.00
117.15;1.87;2.06;1.00
118.53;1.73;2.91;1.00
119.93;1.55;4.27;1.00
121.34;1.36;6.28;1.00
122.77;1.16;9.76;0.99
124.22;0.91;17.90;0.99
125.69;0.70;35.15;0.97
127.17;0.55;69.46;0.97
128.67;0.52;136.69;0.61
130.19;0.30;-169.67;0.41
131.72;0.82;-142.92;0.55
133.28;1.65;-169.90;0.72
134.85;3.38;174.37;0.81
136.44;3.97;150.78;0.87
138.05;1.24;169.06;0.85
139.68;6.64;170.26;0.95
141.32;4.12;167.59;0.98
142.99;8.80;161.74;0.98
144.68;8.07;162.37;0.98
146.38;9.37;149.87;0.95
148.11;22.77;127.57;0.96
149.86;27.76;106.59;0.97
151.62;34.20;84.94;0.98
153.41;37.17;61.73;0.98
155.22;35.33;47.64;0.99
157.05;31.54;35.22;0.99
158.90;28.01;24.63;0.99
160.78;23.93;16.46;1.00
162.67;21.17;12.79;1.00
164.59;18.64;9.59;1.00
166.53;16.59;7.40;1.00
168.50;15.04;5.71;1.00
170.49;13.68;4.74;1.00
172.50;12.88;3.72;1.00
174.53;12.11;3.18;1.00
176.59;11.41;2.30;1.00
178.67;10.85;1.65;1.00
180.78;10.47;1.50;1.00
182.91;10.00;1.04;1.00
185.07;9.63;0.41;1.00
187.25;9.39;0.83;1.00
189.46;9.12;0.50;1.00
191.69;8.81;0.68;1.00
193.96;8.55;0.21;1.00
196.24;8.43;0.21;1.00
198.56;8.19;0.19;1.00
200.90;8.11;-0.10;1.00
203.27;7.89;-0.16;1.00
205.67;7.78;-0.25;1.00
208.09;7.57;-0.31;1.00
210.55;7.45;-0.34;1.00
213.03;7.41;-0.36;1.00
215.54;7.27;-0.39;1.00
218.08;7.16;-0.29;1.00
220.66;7.09;-0.21;1.00
223.26;7.02;-0.18;1.00
225.89;6.91;-0.31;1.00
228.55;6.84;-0.22;1.00
231.25;6.78;-0.51;1.00
233.98;6.72;-0.59;1.00
236.74;6.64;-0.47;1.00
239.53;6.55;-0.39;1.00
242.35;6.45;-0.19;1.00
245.21;6.40;-0.03;1.00
248.10;6.37;-0.15;1.00
251.03;6.31;0.19;1.00
253.99;6.25;-0.05;1.00
256.99;6.25;-0.21;1.00
260.02;6.17;-0.07;1.00
263.08;6.08;-0.02;1.00
266.19;6.02;0.14;1.00
269.33;5.95;0.06;1.00
272.50;5.88;0.26;1.00
275.72;5.80;1.16;1.00
278.97;5.66;3.43;1.00
282.26;5.41;8.10;1.00
285.59;6.00;3.67;1.00
288.96;6.61;-0.29;1.00
292.36;6.17;-0.29;1.00
295.81;5.98;-0.25;1.00
299.30;5.90;-0.36;1.00
302.83;5.85;-0.80;1.00
306.40;5.79;-0.70;1.00
310.02;5.68;-0.75;1.00
313.67;5.60;-0.64;1.00
317.37;5.52;-0.35;1.00
321.12;5.49;-0.25;1.00
324.90;5.41;-0.28;1.00
328.73;5.37;-0.07;1.00
332.61;5.30;-0.06;1.00
336.53;5.27;-0.24;1.00
340.50;5.21;-0.42;1.00
344.52;5.16;-0.60;1.00
348.58;5.07;-0.55;1.00
352.69;4.99;-0.65;1.00
356.85;5.02;-1.24;1.00
361.06;5.02;-0.52;1.00
365.32;4.41;0.00;1.00
369.63;4.60;0.30;1.00
373.99;4.53;0.41;1.00
378.40;4.46;0.34;1.00
382.86;4.33;0.60;1.00
387.38;4.21;0.62;1.00
391.95;4.07;0.76;1.00
396.57;3.91;0.91;1.00
401.25;3.72;1.39;1.00
405.98;3.51;1.96;1.00
410.77;3.26;2.80;1.00
415.61;2.95;4.29;1.00
420.51;2.63;6.55;1.00
425.47;2.09;15.12;0.98
430.49;1.54;51.06;0.91
435.57;1.39;122.87;0.91
440.70;1.66;142.54;0.94
445.90;2.72;150.85;0.95
451.16;4.29;154.59;0.96
456.48;3.12;162.82;0.93
461.87;11.24;135.93;0.74
467.31;27.76;89.51;0.65
472.82;50.79;25.08;0.93
478.40;31.38;12.98;0.98
484.04;21.32;7.04;0.99
489.75;16.80;5.48;1.00
495.53;14.18;3.67;1.00
501.37;12.54;2.60;1.00
507.29;11.33;2.26;1.00
513.27;10.53;1.52;1.00
519.32;9.96;1.20;1.00
525.45;9.37;0.73;1.00
531.64;8.97;0.34;1.00
537.91;8.56;0.74;1.00
544.26;8.25;0.33;1.00
550.68;7.89;0.38;1.00
557.17;7.64;0.43;1.00
563.74;7.36;1.02;1.00
570.39;7.05;1.61;1.00
577.12;6.83;2.35;1.00
583.93;6.38;4.72;1.00
590.81;5.92;9.80;1.00
597.78;5.37;27.69;0.98
604.83;5.14;52.28;0.93
611.96;8.33;23.32;0.90
619.18;12.44;9.49;0.98
626.48;10.84;3.50;1.00
633.87;9.73;1.71;1.00
641.35;8.98;0.82;1.00
648.91;8.48;0.55;1.00
656.57;8.10;0.15;1.00
664.31;7.88;-0.09;1.00
672.14;7.71;-0.39;1.00
680.07;7.46;-0.07;1.00
688.09;7.31;-0.60;1.00
696.21;7.18;-0.40;1.00
704.42;7.04;-0.59;1.00
712.73;6.90;-0.74;1.00
721.13;6.79;-0.45;1.00
729.64;6.68;-0.45;1.00
738.24;6.54;-0.58;1.00
746.95;6.40;-0.42;1.00
755.76;6.28;-0.58;1.00
764.67;6.15;-0.39;1.00
773.69;6.01;-0.49;1.00
782.82;5.86;-0.24;1.00
792.05;5.68;-0.70;1.00
801.39;5.45;-0.26;1.00
810.84;5.19;-0.01;1.00
820.40;4.89;0.48;1.00
830.08;4.52;0.97;1.00
