Freq;Ampl;Phase;Cohe;Imag;Real
26.61132813;4.818405151;-2.159773827;0.995518804;-4.006547928;-2.676677704
26.85546875;4.763782501;-2.181991816;0.99556917;-3.901359797;-2.73368144
27.09960938;4.719468594;-2.202037573;0.995620966;-3.810006618;-2.785181046
27.34375;4.688597679;-2.221879959;0.995788336;-3.729440212;-2.841517925
27.58789063;4.668290615;-2.242302656;0.995838225;-3.654736519;-2.904451609
27.83203125;4.649516106;-2.264332056;0.995906532;-3.575434685;-2.972249746
28.07617188;4.632219315;-2.289196014;0.995916963;-3.487412691;-3.048836946
28.3203125;4.608062267;-2.313696146;0.995918572;-3.39388442;-3.117015362
28.56445313;4.576114178;-2.340359688;0.996060312;-3.286631823;-3.184159279
28.80859375;4.532701492;-2.365485668;0.996153176;-3.175186872;-3.23474431
29.05273438;4.480443954;-2.391210079;0.996119976;-3.055298328;-3.277122259
29.296875;4.418591499;-2.414795876;0.99609226;-2.936062813;-3.302042961
29.54101563;4.36042881;-2.435096979;0.996130824;-2.830669641;-3.316722631
29.78515625;4.281120777;-2.454979897;0.996083319;-2.713893175;-3.311008453
30.02929688;4.219948769;-2.467496395;0.996374726;-2.634056568;-3.296924829
30.2734375;4.159187794;-2.481799841;0.996515989;-2.549387932;-3.286253929
30.51757813;4.105678082;-2.493968725;0.996536255;-2.476927996;-3.274358273
30.76171875;4.051748276;-2.504025936;0.996683717;-2.411771059;-3.255767584
31.00585938;4.005909443;-2.511996508;0.996810973;-2.358753204;-3.237837553
31.25;3.97045207;-2.522382021;0.996903956;-2.304420948;-3.233285189
31.49414063;3.932589054;-2.529030323;0.996918082;-2.261104584;-3.217555285
31.73828125;3.911291122;-2.537849426;0.997050822;-2.220549583;-3.219838142
31.98242188;3.886880636;-2.545072794;0.997010589;-2.183521032;-3.21559906
32.2265625;3.867810726;-2.556591272;0.99702245;-2.135807753;-3.22463727
32.47070313;3.840126753;-2.567698002;0.997019351;-2.084831238;-3.224911213
32.71484375;3.806062222;-2.578952789;0.997026265;-2.030233622;-3.219357252
32.95898438;3.770065069;-2.588956118;0.997097313;-1.979032159;-3.208866119
33.203125;3.731357574;-2.596592665;0.997063518;-1.934403658;-3.190785408
33.44726563;3.697111368;-2.602553368;0.997215331;-1.897770882;-3.172869205
33.69140625;3.67129302;-2.606383085;0.997259736;-1.872437835;-3.157905817
33.93554688;3.643254757;-2.610460281;0.997322083;-1.845345497;-3.14133811
34.1796875;3.629654408;-2.612406731;0.997366607;-1.832361698;-3.133183956
34.42382813;3.617206097;-2.615627766;0.997493982;-1.816010118;-3.128304243
34.66796875;3.61362052;-2.619702339;0.997561097;-1.801460981;-3.132569551
34.91210938;3.612301826;-2.624846697;0.997644484;-1.784670949;-3.140648603
35.15625;3.613201857;-2.63163352;0.997616768;-1.763754129;-3.153474092
35.40039063;3.616044044;-2.64112854;0.997581244;-1.735096693;-3.172572136
35.64453125;3.606878281;-2.649827003;0.997561336;-1.703106761;-3.179465055
35.88867188;3.600265026;-2.660938025;0.997598648;-1.664617538;-3.192327738
36.1328125;3.5849998;-2.669527769;0.997606814;-1.630193949;-3.192912579
36.37695313;3.568514347;-2.679326534;0.997612894;-1.591477394;-3.193977833
36.62109375;3.555843115;-2.685817242;0.997600138;-1.565135717;-3.192862511
36.86523438;3.539491653;-2.692470074;0.997655153;-1.536759973;-3.188474655
37.109375;3.527206659;-2.699086428;0.997624218;-1.510370374;-3.187470436
37.35351563;3.520044565;-2.705502987;0.997686565;-1.486861587;-3.190604448
37.59765625;3.512994528;-2.714069366;0.997671843;-1.456551909;-3.196808815
37.84179688;3.507448196;-2.72087431;0.997671425;-1.432498932;-3.201583862
38.0859375;3.495432377;-2.729618073;0.997634232;-1.399639845;-3.202975988
38.33007813;3.489072561;-2.7389431;0.99759233;-1.367219448;-3.210037231
38.57421875;3.473264217;-2.74771142;0.99757117;-1.332953095;-3.207304239
38.81835938;3.46137929;-2.757106781;0.997499287;-1.298303127;-3.208668709
39.0625;3.442492247;-2.765559435;0.997497916;-1.264199853;-3.201960564
39.30664063;3.420931816;-2.774081707;0.997452497;-1.229119897;-3.192497253
39.55078125;3.406561375;-2.781915665;0.997475922;-1.199014306;-3.188577175
39.79492188;3.383585453;-2.787665367;0.997377217;-1.172698021;-3.173866749
40.0390625;3.365927458;-2.794424295;0.997281849;-1.145211577;-3.165115833
40.28320313;3.348089457;-2.798629284;0.997266293;-1.125893474;-3.153104305
40.52734375;3.332663298;-2.804472685;0.997091711;-1.102347016;-3.145071745
40.77148438;3.322965622;-2.809884787;0.99700439;-1.082151294;-3.141822577
41.015625;3.310776234;-2.814712763;0.996955156;-1.06305635;-3.135466576
41.25976563;3.298005104;-2.823093653;0.996832132;-1.032742381;-3.132136822
41.50390625;3.288346767;-2.829217196;0.99678725;-1.010574818;-3.129211187
41.74804688;3.27404952;-2.836900711;0.99675858;-0.982213259;-3.123244762
41.9921875;3.259819508;-2.844351768;0.996809959;-0.954746604;-3.116870642
42.23632813;3.241640091;-2.851779938;0.996799827;-0.926372528;-3.106455326
42.48046875;3.223488808;-2.85863781;0.996810257;-0.899979949;-3.095305443
42.72460938;3.203476667;-2.864361763;0.996764183;-0.876770139;-3.0811584
42.96875;3.183676243;-2.869890213;0.996701658;-0.854409039;-3.066884279
43.21289063;3.168003559;-2.874560356;0.996531844;-0.835941255;-3.055723906
43.45703125;3.148787022;-2.879035234;0.996321321;-0.817271769;-3.040875912
43.70117188;3.132602692;-2.884319305;0.996118248;-0.797074437;-3.029500246
43.9453125;3.118121862;-2.8885324;0.995965481;-0.780678272;-3.018811941
44.18945313;3.104216814;-2.89353466;0.995808244;-0.762153625;-3.009199858
